name,url,property_type,source
1 Hong Yip Street康業街1號,/building/1-hong-yip-street/8185,industrial,direct_link
1 Hung To Road鴻圖道一號,/building/1-hung-to-road/4737,industrial,direct_link
1 Wang Wo Tsai Street橫窩仔街1號,/building/1-wang-wo-tsai-street/16380,industrial,direct_link
100 Texaco Road德士古道100號,/building/100-texaco-road/16377,industrial,direct_link
107-109 Wai Yip Street偉業街107-109號,/building/107-109-wai-yip-street/4923,industrial,direct_link
111 Lee Nam Road利南道111號,/building/111-lee-nam-road/11341,industrial,direct_link
113-117 Tung Chau Street祝齡大廈,/building/113-117-tung-chau-street/12118,industrial,direct_link
13 On Kui Street安居街13號,/building/13-on-kui-street/17470,industrial,direct_link
14-15 Yip Shing Street業成街14-15號,/building/14-15-yip-shing-street/17322,industrial,direct_link
14-18 Ma Kok Street馬角街14-18號,/building/14-18-ma-kok-street/17426,industrial,direct_link
143 Wai Yip Street偉業街143號,/building/143-wai-yip-street/4939,industrial,direct_link
15 Wang Chiu Road宏照道15號,/building/15-wang-chiu-road/5236,industrial,direct_link
16 On Lok Mun Street安樂門街16號,/building/16-on-lok-mun-street/16282,industrial,direct_link
167-169 Hoi Bun Road海濱道167-169號,/building/167-169-hoi-bun-road/5356,industrial,direct_link
2 Hung To Road鴻圖道2號,/building/2-hung-to-road/4720,industrial,direct_link
2-10 Tai Yuen Street大圓街2-10號,/building/2-10-tai-yuen-street/17717,industrial,direct_link
20 Wing Hong Street永康街20號,/building/20-wing-hong-street/17675,industrial,direct_link
24-28 Wing Lap Street葵涌永立街24至28號,/building/24-28-wing-lap-street/17357,industrial,direct_link
28 Hung To Road鴻圖道28號,/building/28-hung-to-road/4761,industrial,direct_link
3 Luk Hop Street六合街3號,/building/3-luk-hop-street/17842,industrial,direct_link
3 Yuk Yat Street旭日街3號,/building/3-yuk-yat-street/4833,industrial,direct_link
30 On Lok Mun Street安樂門街30號,/building/30-on-lok-mun-street/16279,industrial,direct_link
31A Ma Liu Shui San Tsuen馬料水新村31A號,/building/31a-ma-liu-shui-san-tsuen/17053,industrial,direct_link
32 On Lok Mun Street安樂門街32號,/building/32-on-lok-mun-street/16278,industrial,direct_link
350-360 Fuk Wing Street福榮街350-360號,/building/350-360-fuk-wing-street/11376,industrial,direct_link
38 Wing Kei Road永基路38號,/building/38-wing-kei-road/17828,industrial,direct_link
45 Wong Chuk Hang Road黃竹坑道45號,/building/45-wong-chuk-hang-road/3818,industrial,direct_link
47-51 Kwai Fung Crescent葵豐街47-51號,/building/47-51-kwai-fung-crescent/17358,industrial,direct_link
4S City,/building/4s-city/16996,industrial,direct_link
52 Hung To Road鴻圖道52號,/building/52-hung-to-road/4727,industrial,direct_link
5A On Chuen Street安全街5A號,/building/5a-on-chuen-street/16312,industrial,direct_link
6 Luk Hop Street六合街6號,/building/6-luk-hop-street/17430,industrial,direct_link
64 Hung To Road鴻圖道64號,/building/64-hung-to-road/17382,industrial,direct_link
67 Bedford Road必發道67號,/building/67-bedford-road/12312,industrial,direct_link
69 Bedford Road必發道69號,/building/69-bedford-road/12311,industrial,direct_link
75 Bedford Road必發道75號,/building/75-bedford-road/12318,industrial,direct_link
78 Hung To Road鴻圖道78號,/building/78-hung-to-road/4730,industrial,direct_link
78-78A Larch Street洋松街78-78A號,/building/78-78a-larch-street/8083,industrial,direct_link
792-794 Cheung Sha Wan Road長沙灣道792-794號,/building/792-794-cheung-sha-wan-road/6336,industrial,direct_link
822 Lai Chi Kok Road荔枝角道822號,/building/822-lai-chi-kok-road/7363,industrial,direct_link
88 Kwai Cheong Road癸昌路88號,/building/88-kwai-cheong-road/6835,industrial,direct_link
9 Wing Hong Street永康街九號,/building/9-wing-hong-street/5555,industrial,direct_link
90 Hung To Road鴻圖道90號,/building/90-hung-to-road/4750,industrial,direct_link
99 COMMONS杯渡路99號,/building/99-commons/17476,industrial,direct_link
Aberdeen Industrial Building香港仔工業大廈,/building/aberdeen-industrial-building/3937,industrial,direct_link
Acefield Ltd冠田工業大廈,/building/acefield-ltd/15398,industrial,direct_link
Acro Industrial Building雅高工業大樓,/building/acro-industrial-building/4830,industrial,direct_link
ADP Pentagon Centre五方集團中心,/building/adp-pentagon-centre/5336,industrial,direct_link
Air Goal Cargo Building威力貨運大廈,/building/air-goal-cargo-building/4593,industrial,direct_link
Airport Freight Forwarding Centre機場空運中心,/building/airport-freight-forwarding-centre/7246,industrial,direct_link
Aji Ichiban Centre優之良品中心,/building/aji-ichiban-centre/16484,industrial,direct_link
Ajisen Group Tower味千集團大廈,/building/ajisen-group-tower/4690,industrial,direct_link
Alexandra Industrial Building安泰工業大廈,/building/alexandra-industrial-building/5565,industrial,direct_link
Allied and Associated Enterprises (HK) Ltd德邦貨倉,/building/allied-and-associated-enterprises-hk-ltd/16349,industrial,direct_link
Allied Cargo Centre聯合貨運中心,/building/allied-cargo-centre/5325,industrial,direct_link
Alpha Appliances Building第一電業大廈,/building/alpha-appliances-building/16283,industrial,direct_link
Amiata Industrial Building萬美達工業大廈,/building/amiata-industrial-building/7625,industrial,direct_link
Annking Industrial Building安勁工業大廈,/building/annking-industrial-building/11285,industrial,direct_link
Apec Plaza創貿廣場,/building/apec-plaza/5601,industrial,direct_link
Arran Tower環亞中心,/building/arran-tower/13421,industrial,direct_link
Arvato Logistics Centre歐唯特物流中心,/building/arvato-logistics-centre/16366,industrial,direct_link
Asia Logistics Hub-SF Centre亞洲物流中心 - 順豐大廈,/building/asia-logistics-hub-sf-centre/17099,industrial,direct_link
Asia One Tower宏亞大廈,/building/asia-one-tower/17460,industrial,direct_link
Asia Trade Centre亞洲貿易中心,/building/asia-trade-centre/7618,industrial,direct_link
Assun Pacific Centre日昇亞太中心,/building/assun-pacific-centre/7184,industrial,direct_link
"ATL Logistics Centre, Block A亞洲貨櫃物流中心A座",/building/atl-logistics-centre-block-a/7019,industrial,direct_link
"ATL Logistics Centre, Block B亞洲貨櫃物流中心B座",/building/atl-logistics-centre-block-b/7020,industrial,direct_link
Bedford Factory Mansion必發工廠大廈,/building/bedford-factory-mansion/12306,industrial,direct_link
Benefit Industrial Factory Building本利發工業大廈,/building/benefit-industrial-factory-building/3841,industrial,direct_link
Bhotai Industrial Building寶泰工業大廈,/building/bhotai-industrial-building/11944,industrial,direct_link
Big Orange橙色空間,/building/big-orange/17302,industrial,direct_link
Billion Trade Centre鴻貿中心,/building/billion-trade-centre/4740,industrial,direct_link
Blue Box Factory Building大生工業大廈,/building/blue-box-factory-building/10493,industrial,direct_link
Bold Win Industrial Building保盈工業大廈,/building/bold-win-industrial-building/12148,industrial,direct_link
Bonjour Tower卓悅大廈,/building/bonjour-tower/17299,industrial,direct_link
Bonsun Industrial Building萬象工業大廈,/building/bonsun-industrial-building/6448,industrial,direct_link
Brilliant Cold Storage Tower 1光輝凍倉一期,/building/brilliant-cold-storage-tower-1/17359,industrial,direct_link
Brilliant Cold Storage Tower 2光輝凍倉二期,/building/brilliant-cold-storage-tower-2/4846,industrial,direct_link
Broadway Tower百老滙中心,/building/broadway-tower/8161,industrial,direct_link
C & C Building中華商務印刷大廈,/building/c-c-building/17466,industrial,direct_link
